ID,true_labels,pred_labels
0,Ambivalent,Ambivalent
1,Ambivalent,Ambivalent
2,Ambivalent,Ambivalent
3,Ambivalent,Clear Non-Reply
4,Ambivalent,Clear Reply
5,Ambivalent,Ambivalent
6,Ambivalent,Ambivalent
7,Ambivalent,Ambivalent
8,Ambivalent,Clear Reply
9,Ambivalent,Ambivalent
10,Ambivalent,Ambivalent
11,Clear Reply,Clear Non-Reply
12,Ambivalent,Ambivalent
13,Clear Reply,Ambivalent
14,Ambivalent,Clear Reply
15,Clear Reply,Clear Reply
16,Ambivalent,Ambivalent
17,Ambivalent,Ambivalent
18,Ambivalent,Ambivalent
19,Ambivalent,Ambivalent
20,Ambivalent,Ambivalent
21,Clear Reply,Clear Reply
22,Ambivalent,Ambivalent
23,Ambivalent,Ambivalent
24,Ambivalent,Ambivalent
25,Ambivalent,Ambivalent
26,Ambivalent,Ambivalent
27,Ambivalent,Ambivalent
28,Ambivalent,Ambivalent
29,Clear Non-Reply,Ambivalent
30,Clear Reply,Ambivalent
31,Ambivalent,Clear Reply
32,Clear Non-Reply,Ambivalent
33,Ambivalent,Clear Non-Reply
34,Ambivalent,Ambivalent
35,Ambivalent,Clear Reply
36,Clear Reply,Ambivalent
37,Ambivalent,Ambivalent
38,Ambivalent,Clear Reply
39,Ambivalent,Ambivalent
40,Ambivalent,Clear Non-Reply
41,Ambivalent,Ambivalent
42,Ambivalent,Ambivalent
43,Ambivalent,Clear Non-Reply
44,Ambivalent,Ambivalent
45,Ambivalent,Ambivalent
46,Clear Reply,Clear Reply
47,Ambivalent,Ambivalent
48,Ambivalent,Clear Reply
49,Clear Non-Reply,Clear Non-Reply
50,Ambivalent,Ambivalent
51,Clear Reply,Ambivalent
52,Ambivalent,Clear Reply
53,Ambivalent,Ambivalent
54,Clear Reply,Clear Non-Reply
55,Ambivalent,Ambivalent
56,Clear Non-Reply,Ambivalent
57,Ambivalent,Clear Non-Reply
58,Clear Reply,Ambivalent
59,Ambivalent,Clear Reply
60,Clear Reply,Clear Non-Reply
61,Clear Reply,Clear Reply
62,Ambivalent,Ambivalent
63,Clear Reply,Ambivalent
64,Ambivalent,Ambivalent
65,Ambivalent,Clear Reply
66,Clear Reply,Ambivalent
67,Clear Reply,Ambivalent
68,Ambivalent,Clear Reply
69,Clear Reply,Ambivalent
70,Clear Reply,Ambivalent
71,Clear Non-Reply,Clear Non-Reply
72,Clear Non-Reply,Clear Non-Reply
73,Clear Reply,Ambivalent
74,Ambivalent,Ambivalent
75,Ambivalent,Clear Reply
76,Clear Reply,Ambivalent
77,Ambivalent,Ambivalent
78,Ambivalent,Ambivalent
79,Ambivalent,Clear Reply
80,Clear Reply,Clear Reply
81,Ambivalent,Ambivalent
82,Ambivalent,Ambivalent
83,Ambivalent,Clear Non-Reply
84,Clear Non-Reply,Clear Non-Reply
85,Ambivalent,Clear Reply
86,Ambivalent,Ambivalent
87,Clear Reply,Clear Reply
88,Clear Non-Reply,Clear Non-Reply
89,Clear Reply,Ambivalent
90,Clear Reply,Ambivalent
91,Ambivalent,Ambivalent
92,Ambivalent,Ambivalent
93,Clear Reply,Ambivalent
94,Clear Non-Reply,Clear Non-Reply
95,Ambivalent,Ambivalent
96,Ambivalent,Ambivalent
97,Clear Reply,Ambivalent
98,Ambivalent,Clear Reply
99,Ambivalent,Ambivalent
100,Ambivalent,Clear Non-Reply
101,Clear Reply,Clear Reply
102,Clear Reply,Ambivalent
103,Ambivalent,Ambivalent
104,Ambivalent,Ambivalent
105,Ambivalent,Ambivalent
106,Ambivalent,Ambivalent
107,Ambivalent,Ambivalent
108,Clear Non-Reply,Clear Non-Reply
109,Ambivalent,Ambivalent
110,Ambivalent,Clear Reply
111,Ambivalent,Ambivalent
112,Ambivalent,Clear Non-Reply
113,Clear Reply,Ambivalent
114,Ambivalent,Ambivalent
115,Ambivalent,Ambivalent
116,Ambivalent,Ambivalent
117,Clear Reply,Ambivalent
118,Ambivalent,Ambivalent
119,Ambivalent,Ambivalent
120,Ambivalent,Ambivalent
121,Clear Reply,Clear Reply
122,Clear Reply,Clear Reply
123,Ambivalent,Clear Non-Reply
124,Clear Reply,Clear Reply
125,Clear Reply,Clear Reply
126,Ambivalent,Ambivalent
127,Ambivalent,Ambivalent
128,Ambivalent,Ambivalent
129,Ambivalent,Ambivalent
130,Ambivalent,Ambivalent
131,Ambivalent,Clear Non-Reply
132,Ambivalent,Ambivalent
133,Clear Reply,Clear Reply
134,Ambivalent,Ambivalent
135,Ambivalent,Ambivalent
136,Ambivalent,Clear Reply
137,Ambivalent,Ambivalent
138,Ambivalent,Ambivalent
139,Clear Reply,Ambivalent
140,Ambivalent,Clear Reply
141,Clear Reply,Clear Reply
142,Ambivalent,Clear Reply
143,Ambivalent,Ambivalent
144,Clear Reply,Ambivalent
145,Clear Reply,Clear Non-Reply
146,Clear Reply,Clear Reply
147,Clear Reply,Ambivalent
148,Ambivalent,Ambivalent
149,Ambivalent,Ambivalent
150,Clear Reply,Ambivalent
151,Ambivalent,Ambivalent
152,Ambivalent,Ambivalent
153,Ambivalent,Ambivalent
154,Clear Reply,Clear Reply
155,Ambivalent,Clear Reply
156,Ambivalent,Ambivalent
157,Ambivalent,Ambivalent
158,Clear Reply,Clear Reply
159,Ambivalent,Ambivalent
160,Ambivalent,Ambivalent
161,Ambivalent,Ambivalent
162,Ambivalent,Ambivalent
163,Clear Reply,Ambivalent
164,Clear Reply,Clear Reply
165,Clear Reply,Ambivalent
166,Ambivalent,Ambivalent
167,Ambivalent,Clear Non-Reply
168,Ambivalent,Ambivalent
169,Ambivalent,Ambivalent
170,Ambivalent,Ambivalent
171,Clear Reply,Ambivalent
172,Ambivalent,Clear Non-Reply
173,Ambivalent,Ambivalent
174,Clear Reply,Clear Reply
175,Ambivalent,Ambivalent
176,Ambivalent,Ambivalent
177,Ambivalent,Ambivalent
178,Ambivalent,Ambivalent
179,Ambivalent,Clear Non-Reply
180,Ambivalent,Clear Reply
181,Ambivalent,Clear Non-Reply
182,Ambivalent,Ambivalent
183,Clear Non-Reply,Clear Non-Reply
184,Clear Reply,Clear Reply
185,Ambivalent,Ambivalent
186,Clear Non-Reply,Clear Non-Reply
187,Ambivalent,Ambivalent
188,Clear Non-Reply,Ambivalent
189,Ambivalent,Ambivalent
190,Ambivalent,Ambivalent
191,Clear Reply,Ambivalent
192,Ambivalent,Ambivalent
193,Clear Reply,Ambivalent
194,Ambivalent,Ambivalent
195,Ambivalent,Ambivalent
196,Ambivalent,Clear Reply
197,Ambivalent,Ambivalent
198,Clear Reply,Clear Reply
199,Ambivalent,Ambivalent
200,Ambivalent,Ambivalent
201,Ambivalent,Clear Reply
202,Ambivalent,Ambivalent
203,Ambivalent,Ambivalent
204,Ambivalent,Ambivalent
205,Ambivalent,Ambivalent
206,Ambivalent,Ambivalent
207,Ambivalent,Clear Reply
208,Ambivalent,Ambivalent
209,Ambivalent,Clear Reply
210,Ambivalent,Ambivalent
211,Ambivalent,Ambivalent
212,Ambivalent,Clear Reply
213,Ambivalent,Clear Reply
214,Ambivalent,Ambivalent
215,Ambivalent,Ambivalent
216,Ambivalent,Ambivalent
217,Ambivalent,Ambivalent
218,Ambivalent,Ambivalent
219,Clear Reply,Ambivalent
220,Ambivalent,Ambivalent
221,Clear Reply,Ambivalent
222,Ambivalent,Ambivalent
223,Clear Reply,Ambivalent
224,Clear Reply,Ambivalent
225,Ambivalent,Ambivalent
226,Ambivalent,Ambivalent
227,Ambivalent,Ambivalent
228,Ambivalent,Clear Non-Reply
229,Clear Reply,Ambivalent
230,Ambivalent,Ambivalent
231,Ambivalent,Ambivalent
232,Ambivalent,Ambivalent
233,Ambivalent,Ambivalent
234,Ambivalent,Ambivalent
235,Ambivalent,Ambivalent
236,Clear Reply,Ambivalent
237,Clear Non-Reply,Clear Non-Reply
238,Ambivalent,Clear Non-Reply
239,Clear Reply,Clear Reply
240,Clear Non-Reply,Clear Non-Reply
241,Ambivalent,Ambivalent
242,Clear Reply,Clear Reply
243,Ambivalent,Ambivalent
244,Ambivalent,Ambivalent
245,Ambivalent,Clear Reply
246,Ambivalent,Ambivalent
247,Clear Reply,Clear Reply
248,Ambivalent,Ambivalent
249,Clear Reply,Clear Reply
250,Clear Reply,Clear Non-Reply
251,Ambivalent,Ambivalent
252,Clear Reply,Ambivalent
253,Ambivalent,Ambivalent
254,Ambivalent,Clear Non-Reply
255,Clear Reply,Clear Reply
256,Ambivalent,Ambivalent
257,Clear Reply,Ambivalent
258,Clear Non-Reply,Clear Non-Reply
259,Clear Reply,Clear Reply
260,Clear Reply,Clear Non-Reply
261,Ambivalent,Ambivalent
262,Ambivalent,Ambivalent
263,Clear Non-Reply,Clear Non-Reply
264,Clear Non-Reply,Ambivalent
265,Clear Non-Reply,Clear Non-Reply
266,Ambivalent,Ambivalent
267,Clear Reply,Clear Reply
268,Clear Reply,Clear Reply
269,Ambivalent,Ambivalent
270,Ambivalent,Clear Reply
271,Ambivalent,Ambivalent
272,Ambivalent,Ambivalent
273,Ambivalent,Ambivalent
274,Ambivalent,Ambivalent
275,Ambivalent,Ambivalent
276,Ambivalent,Clear Non-Reply
277,Clear Non-Reply,Ambivalent
278,Ambivalent,Ambivalent
279,Ambivalent,Ambivalent
280,Ambivalent,Ambivalent
281,Ambivalent,Clear Reply
282,Clear Reply,Clear Reply
283,Ambivalent,Clear Reply
284,Ambivalent,Ambivalent
285,Clear Non-Reply,Clear Non-Reply
286,Ambivalent,Clear Non-Reply
287,Ambivalent,Ambivalent
288,Clear Non-Reply,Ambivalent
289,Ambivalent,Clear Reply
290,Clear Reply,Ambivalent
291,Clear Reply,Clear Reply
292,Clear Reply,Clear Reply
293,Clear Reply,Clear Reply
294,Ambivalent,Ambivalent
295,Ambivalent,Ambivalent
296,Ambivalent,Clear Reply
297,Ambivalent,Clear Non-Reply
298,Clear Reply,Ambivalent
299,Clear Reply,Ambivalent
300,Clear Non-Reply,Clear Non-Reply
301,Ambivalent,Ambivalent
302,Ambivalent,Clear Reply
303,Ambivalent,Ambivalent
304,Ambivalent,Clear Reply
305,Clear Reply,Ambivalent
306,Ambivalent,Ambivalent
307,Clear Reply,Ambivalent
